metz,smiles,proteinName,protein_dataset
7.5,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,HIPK2,metz
7.1,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,IRAK1,metz
7.4,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,IRAK4,metz
7.3,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,MAPK1,metz
8.5,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,MINK,metz
7.4,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,MKNK2,metz
6.1,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,NEK4,metz
6.3,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,PDPK1,metz
6.7,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,PHKG2,metz
8.1,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,PKN2,metz
7.2,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,PRKCD,metz
6.7,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,PRKCG,metz
7.7,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,PRKD2,metz
7.0,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,RPS6KB1,metz
7.4,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,STK17A,metz
6.9,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,STK22D,metz
7.4,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CDC2,metz
6.8,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CSNK2A1,metz
8.3,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,DYRK3,metz
6.4,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,HIPK4,metz
6.0,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,KIAA1811,metz
5.4,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,MAPKAPK2,metz
5.9,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,PAK1,metz
5.6,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,PRKCI,metz
6.4,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,FRK,metz
7.1,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,MAP4K5,metz
6.7,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,FER,metz
6.3,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,SLK,metz
7.0,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CAMK2B,metz
7.7,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CSNK1D,metz
5.5,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,DYRK4,metz
6.8,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,MAPK12,metz
6.9,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,MAPK13,metz
6.0,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,SRPK1,metz
6.1,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,MAPKAPK5,metz
7.0,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,PRKG1,metz
6.0,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,PRKG2,metz
6.1,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,SRMS,metz
6.1,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,FES,metz
6.7,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,FLT4,metz
6.1,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,LYN,metz
6.6,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,PRKCZ,metz
6.0,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,SYK,metz
6.8,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CAMK2A,metz
8.0,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CDK5,metz
6.2,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,ABL1,metz
5.5,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,ACK1,metz
5.9,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,ACVR1,metz
6.0,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,TYK2,metz
5.5,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,TOPK,metz
7.3,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CDK7,metz
8.3,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CDK8,metz
8.1,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CLK2,metz
6.9,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CSF1R,metz
7.8,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CSNK1A1,metz
7.3,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,DAPK3,metz
7.6,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,DYRK1A,metz
7.8,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,DYRK1B,metz
5.4,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,FGFR1,metz
8.2,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,FLT3,metz
6.2,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,GPRK5,metz
6.4,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,GSK3A,metz
6.4,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,GSK3B,metz
5.6,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,IKBKE,metz
6.1,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,JAK2,metz
6.8,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,JAK3,metz
6.1,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,KDR,metz
5.5,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,LCK,metz
8.7,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,LRRK2,metz
6.9,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,LTK,metz
7.7,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,MAP2K1,metz
7.5,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,MAP2K2,metz
7.2,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,MAP4K2,metz
7.7,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,MAP4K4,metz
5.7,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,MAPK14,metz
5.9,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,MAPK8,metz
5.5,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,MAPK9,metz
7.2,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,MST1R,metz
6.1,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,NTRK2,metz
5.8,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,NTRK3,metz
7.4,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,PAK4,metz
5.9,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,PDGFRA,metz
6.3,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,PDGFRB,metz
6.9,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,PIM1,metz
7.4,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,PRKAA1,metz
8.1,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,PRKACA,metz
8.3,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,PRKCN,metz
9.1,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,PRKCQ,metz
8.5,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,PRKX,metz
5.7,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,RET,metz
8.9,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,ROCK1,metz
7.9,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,RPS6KA3,metz
6.6,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,STK12,metz
5.7,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,TBK1,metz
5.6,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,TYRO3,metz
9.0,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CLK4,metz
8.7,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,ROCK2,metz
8.5,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,MELK,metz
7.1,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,STK3,metz
6.6,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CAMK2D,metz
9.5,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CDC7,metz
7.5,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CDK2,metz
7.4,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,HIPK2,metz
7.7,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,MINK,metz
7.5,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,STK17A,metz
7.3,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,MAP4K5,metz
6.2,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,ALK,metz
6.7,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CAMK2A,metz
8.5,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CDK5,metz
5.8,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,ABL1,metz
5.7,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,ACK1,metz
6.2,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,ACVR1,metz
6.2,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,CDK7,metz
6.7,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,CDK8,metz
6.8,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,CDK9,metz
5.8,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,CHEK1,metz
8.2,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,CLK2,metz
5.4,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,CSNK1A1,metz
5.9,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,DAPK3,metz
8.4,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,DYRK1B,metz
5.8,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,GPRK5,metz
6.2,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,GSK3A,metz
6.1,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,GSK3B,metz
6.0,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,IKBKE,metz
6.4,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,KDR,metz
7.0,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,LRRK2,metz
6.2,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,LTK,metz
6.4,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,MAP2K1,metz
6.2,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,MAP2K2,metz
6.6,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,MAP4K2,metz
7.3,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,MAP4K4,metz
5.8,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,MAPK8,metz
6.1,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,MST1R,metz
5.7,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,PIM1,metz
6.3,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,PRKAA1,metz
7.1,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,PRKACA,metz
6.4,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,PRKCN,metz
6.8,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,PRKCQ,metz
6.7,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,PRKX,metz
6.4,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,ROCK1,metz
5.8,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,RPS6KA3,metz
6.3,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,STK12,metz
5.7,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,TAO1,metz
6.1,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,TBK1,metz
7.0,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,PLK4,metz
5.9,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,PIM3,metz
5.3,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,AKT1,metz
5.2,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,AKT3,metz
5.9,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,PIM2,metz
6.1,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,ROCK2,metz
6.6,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,SGK,metz
6.4,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,MARK3,metz
6.1,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,MELK,metz
7.1,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,ROS1,metz
6.3,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,STK3,metz
7.1,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,CAMK2D,metz
6.7,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,CAMK2G,metz
5.7,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,CDC42BPA,metz
6.5,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,CDC7,metz
6.3,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,CDK2,metz
5.5,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,CSNK1G2,metz
5.8,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,CSNK1G3,metz
7.4,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23,HIPK2,metz
