drug,target,value,fold
4,71,7.5,4
4,72,6.7,3
4,73,6.8,3
4,74,7.2,5
4,75,7.2,5
4,76,6.9,2
4,79,6.7,4
4,81,6.8,2
4,83,6.4,5
4,84,6.2,3
4,85,7.1,5
4,87,6.8,5
4,89,7.6,5
4,92,6.8,2
4,95,6.5,3
4,96,7.7,4
4,97,7.0,2
4,98,8.4,2
4,100,6.6,5
4,101,8.0,4
4,105,6.7,3
4,107,7.6,4
4,110,7.4,4
4,111,6.8,3
4,113,5.8,5
4,114,6.4,3
4,118,6.5,4
4,122,5.2,5
4,124,8.3,5
4,125,6.8,4
4,129,6.3,4
4,131,6.7,3
4,133,7.1,5
4,138,7.8,3
4,139,6.6,3
4,142,5.7,3
4,146,6.0,4
4,147,6.2,2
4,150,7.3,3
4,151,6.2,2
4,161,5.4,5
4,162,6.6,3
4,166,5.9,4
5,1,5.8,4
5,2,5.9,4
5,3,6.3,5
5,5,5.8,5
5,13,5.9,2
5,14,6.1,4
5,15,5.7,5
5,17,5.9,2
5,23,5.4,3
5,33,6.6,2
5,34,6.0,4
5,37,6.1,5
5,38,6.1,5
5,39,5.4,3
5,41,5.9,1
5,44,6.4,5
5,45,5.7,1
5,53,6.5,5
5,55,5.8,3
5,57,5.9,1
5,59,5.2,1
5,60,6.6,1
5,61,5.8,1
5,62,5.6,1
5,63,7.0,1
5,65,7.0,3
5,66,5.2,5
5,71,7.0,3
5,72,6.0,3
5,73,6.0,5
5,75,5.4,5
5,78,6.6,4
5,80,6.8,4
5,81,5.7,2
5,83,5.1,2
5,87,5.6,5
5,88,6.5,2
5,97,5.3,5
5,98,6.3,3
5,99,6.2,5
5,100,5.5,4
5,101,5.8,4
5,106,5.2,2
5,107,5.5,2
5,110,6.4,3
5,112,5.9,5
5,116,6.4,4
5,124,5.3,2
5,125,5.6,2
5,129,6.6,5
5,133,6.5,5
5,140,6.0,4
5,147,5.7,3
6,1,7.4,3
6,2,6.4,4
6,3,6.1,4
6,5,6.3,1
6,7,6.9,1
6,9,6.3,5
6,10,6.5,5
6,11,5.8,3
6,13,6.4,5
6,14,7.3,3
6,15,6.1,1
6,16,6.7,4
6,17,6.6,4
6,21,6.1,2
6,22,6.3,2
6,23,6.6,4
6,24,5.1,2
6,25,5.4,2
6,29,6.7,1
6,31,6.2,5
6,32,6.2,3
6,37,7.1,5
6,38,6.8,2
6,39,6.9,1
6,41,7.2,3
6,42,5.4,3
6,43,5.9,4
6,44,6.8,4
6,45,5.7,1
6,49,6.9,3
6,50,6.9,3
6,51,5.8,5
6,52,6.2,1
6,53,7.2,3
6,56,5.9,5
6,57,6.4,3
6,60,5.9,5
6,63,6.3,3
6,64,5.5,1
6,65,6.4,1
6,66,6.0,1
6,67,6.2,1
6,68,7.1,1
6,69,6.6,1
6,70,6.0,5
6,71,7.7,5
6,72,6.4,3
6,73,7.0,5
6,75,5.6,5
6,76,7.0,4
6,81,6.7,3
6,83,6.9,3
6,84,5.7,3
6,85,5.9,3
6,87,7.2,5
6,88,7.8,3
6,92,5.7,3
6,96,6.5,4
6,98,7.6,2
6,99,7.1,3
6,100,7.1,3
6,101,7.5,5
6,103,6.4,4
6,106,6.0,3
6,107,7.2,4
6,109,6.4,2
6,110,7.5,4
6,112,7.1,2
6,113,6.3,5
6,115,6.7,4
6,116,7.4,5
6,117,6.3,4
6,118,6.5,4
6,121,6.1,4
6,123,7.1,2
6,124,7.2,2
6,125,6.4,5
6,129,7.3,3
6,138,5.4,2
6,139,6.8,2
6,142,6.6,2
6,143,5.3,5
6,149,6.3,5
6,151,5.4,3
6,162,6.4,5
7,1,5.8,5
7,2,6.5,4
7,3,7.9,1
7,5,6.2,2
7,7,5.9,3
7,13,6.2,4
7,14,6.3,2
7,15,6.0,5
7,17,6.2,1
7,19,5.1,3
7,21,5.6,5
7,22,5.9,1
7,23,5.3,5
7,29,5.6,1
7,33,6.2,4
7,34,6.0,3
7,37,6.0,3
7,38,6.3,5
7,39,6.1,4
7,41,6.2,4
7,42,5.3,4
7,43,5.3,4
7,44,8.5,5
7,51,5.6,3
7,52,5.3,2
7,54,5.2,3
7,55,6.1,3
7,57,6.0,5
7,59,6.7,3
7,60,7.2,4
7,61,6.4,1
7,63,7.5,1
7,65,8.5,3
7,66,5.8,3
7,68,6.0,2
7,70,5.4,1
7,71,7.5,1
7,72,6.6,1
7,73,6.1,1
7,74,5.8,1
7,75,5.5,1
7,76,6.3,1
7,77,5.4,1
7,78,6.9,1
7,79,5.4,5
7,80,7.3,5
7,81,6.3,4
7,82,5.7,5
7,83,6.2,5
7,87,6.0,3
7,88,6.4,2
7,92,5.3,3
7,96,5.4,2
7,97,5.9,3
7,100,6.2,2
7,101,6.1,3
7,107,5.4,5
7,110,7.2,5
7,111,6.4,4
7,112,6.3,2
7,113,5.9,5
7,114,5.3,4
7,116,6.6,2
7,118,5.7,5
7,121,5.8,4
7,123,6.1,5
7,125,5.9,2
7,127,6.2,5
7,129,8.0,5
7,133,7.8,5
7,137,6.2,2
7,138,5.3,5
7,140,5.9,4
7,143,6.2,5
7,146,6.9,2
7,147,7.1,4
7,150,5.7,4
7,157,5.1,2
8,5,5.5,3
8,8,6.6,1
8,11,5.5,3
8,13,6.5,5
8,14,6.3,3
8,15,6.9,4
8,17,6.6,4
8,19,6.0,3
8,21,6.1,1
8,23,6.6,4
8,26,6.3,4
8,27,8.1,5
8,29,5.6,3
8,32,9.3,1
8,37,6.1,2
8,39,7.8,2
8,42,7.4,5
8,45,7.2,1
8,46,5.6,3
8,48,5.5,2
8,49,6.4,2
8,51,5.7,1
8,53,6.9,3
8,54,7.5,1
8,55,7.1,1
8,57,5.8,1
8,61,8.1,3
8,64,5.4,3
8,69,6.3,1
8,71,6.8,4
8,73,6.8,4
8,74,7.0,5
8,75,8.1,1
8,76,6.4,4
8,79,5.8,1
8,80,6.9,1
8,81,5.7,1
8,82,6.3,1
8,83,6.1,1
8,84,6.4,1
8,85,5.6,1
8,91,6.7,3
8,96,6.7,2
8,97,6.8,4
8,98,7.7,4
8,100,6.7,3
8,101,5.2,3
8,105,6.1,4
8,107,7.5,2
8,108,8.4,2
8,113,6.4,2
8,114,5.9,4
8,124,6.9,5
8,125,6.0,4
8,138,6.9,2
8,139,5.9,5
8,150,7.3,4
8,151,5.9,5
9,1,4.9,4
9,2,5.0,4
9,4,5.1,3
9,7,4.3,4
9,8,6.8,2
9,9,4.4,2
9,26,5.0,3
9,27,5.4,5
9,28,4.7,3
9,29,6.7,4
9,30,5.5,5
9,31,4.1,5
9,34,5.1,5
9,35,6.4,2
9,36,5.2,5
9,39,6.6,5
9,48,5.0,3
9,49,4.3,5
9,50,4.7,1
9,51,4.3,2
9,59,5.0,2
9,66,5.2,3
9,70,4.6,4
9,71,4.0,1
9,79,4.9,1
9,80,5.4,4
9,86,4.4,1
9,87,4.6,1
9,88,6.5,1
9,89,4.6,4
9,90,5.4,3
9,91,6.2,4
9,93,5.3,5
9,98,5.3,4
9,108,5.9,3
9,109,5.0,3
9,118,5.2,5
9,119,6.0,5
9,124,5.6,3
9,127,4.8,2
9,128,5.2,4
9,131,5.0,3
9,136,4.7,3
10,1,7.4,4
10,2,6.3,4
10,3,5.3,2
10,4,6.5,1
10,7,7.1,1
10,8,7.6,4
10,9,7.6,3
10,13,8.5,3
10,17,8.0,2
10,26,7.2,4
10,27,7.6,4
10,28,5.9,4
10,29,5.9,5
10,30,7.1,1
10,31,7.3,1
10,32,9.5,1
10,33,6.8,2
10,34,5.8,4
10,35,8.3,3
10,36,6.2,2
10,37,6.1,4
10,38,5.8,5
10,39,8.9,5
10,41,5.9,2
10,48,6.4,3
10,50,5.8,5
10,51,5.8,3
10,53,8.6,5
10,59,6.5,5
10,61,7.5,4
10,66,7.2,3
10,71,5.7,3
10,74,7.2,1
10,79,6.6,2
10,80,7.4,4
10,87,7.8,2
10,88,8.6,2
10,89,7.0,1
10,90,6.3,1
10,91,6.7,1
10,92,6.6,1
10,93,8.1,1
10,94,5.7,1
10,96,7.6,2
10,98,7.4,5
10,99,7.1,4
10,108,7.8,2
10,109,6.0,3
10,110,5.8,2
10,118,6.1,2
10,119,7.8,4
10,124,8.0,3
10,125,6.9,3
10,130,6.0,5
10,131,5.6,4
10,136,5.6,2
10,148,5.6,3
11,2,6.7,2
11,8,7.2,1
11,11,5.7,1
11,28,7.2,2
11,29,6.5,2
11,32,8.5,2
11,38,8.1,5
11,40,6.1,4
11,50,7.5,4
11,53,8.4,4
11,64,6.8,2
11,70,6.1,1
11,72,6.2,2
11,74,7.0,5
11,82,5.8,2
11,88,8.3,2
11,92,7.0,2
11,95,7.0,1
11,96,7.8,1
11,97,6.2,1
11,110,6.6,5
11,131,6.5,4
11,135,5.7,5
11,137,6.0,5
11,142,6.3,4
11,147,6.1,5
11,157,5.5,2
11,161,6.0,5
11,162,6.6,4
12,1,7.4,4
12,7,6.1,3
12,8,7.6,3
12,9,7.5,4
12,12,6.0,3
12,13,7.0,4
12,14,7.1,5
12,15,7.2,5
12,16,6.8,2
12,17,6.6,5
12,18,6.7,4
12,19,6.6,5
12,20,5.5,1
12,21,5.9,1
12,22,5.9,2
12,24,7.1,3
12,25,6.2,2
12,26,7.4,3
12,28,6.1,4
12,29,5.1,1
12,31,7.0,4
12,32,8.0,4
12,33,6.6,2
12,35,7.5,1
12,37,6.8,5
12,38,6.7,3
12,39,8.3,5
12,40,6.3,1
12,41,7.4,1
12,42,6.4,3
12,43,5.3,3
12,44,5.8,4
12,45,6.1,2
12,46,6.3,1
12,50,5.9,5
12,52,5.4,4
12,54,6.6,2
12,55,6.9,5
12,57,6.5,3
12,59,7.1,1
12,61,6.9,3
12,62,5.5,2
12,64,5.9,4
12,66,7.0,4
12,67,6.5,4
12,68,7.8,4
12,69,6.8,4
12,71,6.8,1
12,73,6.8,1
12,74,7.6,5
12,75,6.9,2
12,76,5.8,2
12,79,6.0,3
12,80,7.5,4
12,81,6.2,1
12,83,5.8,5
12,84,6.3,1
12,85,6.3,3
12,87,7.1,3
12,88,8.2,2
12,89,8.2,5
12,92,6.3,5
12,96,7.9,4
12,97,8.3,4
12,98,8.1,1
12,99,6.6,1
12,100,6.3,1
12,101,6.5,1
12,102,5.9,1
12,104,6.7,3
12,105,6.8,3
12,107,6.8,4
12,110,6.5,4
12,114,5.8,5
12,118,5.9,5
12,124,7.3,5
12,125,6.1,4
12,131,6.6,2
12,138,6.5,4
12,140,5.5,2
12,142,5.5,5
12,150,7.4,3
12,151,6.4,3
12,157,5.8,3
12,161,6.2,4
12,162,6.3,3
12,166,7.0,5
13,1,8.3,5
13,2,7.0,1
13,3,6.6,3
13,5,6.9,3
13,7,6.9,5
13,8,7.3,2
13,9,8.2,2
13,11,6.3,5
13,12,6.3,4
13,13,6.9,1
13,14,8.4,2
13,16,7.0,2
13,18,8.5,4
13,19,6.8,1
13,20,5.1,1
13,21,6.0,1
13,24,7.6,3
13,25,6.2,4
13,26,6.8,4
13,28,6.6,3
13,31,6.5,2
13,32,8.3,4
13,33,7.6,5
13,37,6.8,1
13,38,6.7,3
13,40,6.2,3
13,42,6.8,3
13,43,5.3,1
13,44,6.3,4
13,45,7.6,2
13,46,6.1,4
13,50,6.4,1
13,52,6.5,3
13,54,7.3,5
13,55,6.6,2
13,57,7.1,5
13,59,7.3,3
13,61,6.6,2
13,62,6.0,5
13,64,5.7,3
13,66,8.3,5
13,67,5.9,2
13,68,7.2,4
13,69,5.8,3
13,70,5.4,3
13,71,7.0,3
13,73,7.3,3
13,74,7.8,4
13,75,7.2,1
13,76,6.0,5
13,79,7.3,2
13,80,7.2,2
13,81,6.4,1
13,83,7.3,5
13,84,5.8,4
13,85,6.3,4
13,87,8.2,4
13,89,8.4,3
13,92,6.6,5
13,95,6.1,3
13,97,7.3,3
13,98,8.5,3
13,99,7.4,5
13,100,7.6,4
13,101,6.4,2
13,102,6.4,1
13,104,7.5,2
13,105,7.0,2
13,107,8.2,3
13,109,7.0,5
13,110,7.2,2
13,113,5.6,2
13,114,5.6,4
13,118,5.7,4
13,122,6.1,2
13,125,7.5,3
13,138,7.0,4
13,139,6.2,5
13,140,5.7,4
13,150,6.9,4
13,151,6.0,4
13,157,5.4,3
13,161,5.9,5
13,162,6.7,3
13,166,6.1,5
14,5,5.5,3
14,8,6.4,4
14,9,6.3,1
14,13,6.5,2
14,14,5.8,5
14,15,7.4,1
14,17,6.9,5
14,18,6.5,5
14,19,6.3,2
14,20,5.8,5
14,23,6.0,1
14,24,5.9,1
14,25,5.2,5
14,26,5.6,3
14,27,6.3,2
14,30,6.1,2
14,31,6.1,4
14,32,8.7,3
14,33,5.9,2
14,37,5.9,4
14,38,5.9,1
14,42,5.9,1
14,43,5.7,5
14,45,5.9,5
14,46,5.4,1
14,54,5.7,1
14,55,5.9,2
14,57,5.5,5
14,59,6.4,5
14,60,6.4,5
14,61,8.2,2
14,63,6.2,4
14,64,6.0,4
14,66,6.0,2
14,67,7.1,2
14,68,6.6,2
14,69,5.9,2
14,71,6.7,2
14,72,6.1,5
14,73,6.1,5
14,74,6.2,3
14,75,7.0,2
14,76,6.4,3
14,82,6.3,1
14,83,6.1,2
14,84,5.1,3
14,85,6.3,2
14,88,6.8,5
14,91,6.6,1
14,95,5.8,3
14,97,5.9,2
14,98,6.2,1
14,99,6.0,3
14,100,5.8,4
14,101,6.3,3
14,103,6.5,1
14,104,6.0,1
14,105,6.3,1
14,106,5.2,5
14,107,5.5,5
14,108,5.5,5
14,109,5.6,5
14,113,6.6,4
14,114,5.9,5
14,118,6.0,3
14,119,5.6,4
14,121,6.7,5
14,122,5.6,3
14,123,6.5,3
14,138,5.6,5
14,140,5.6,3
14,143,5.4,2
14,150,5.6,5
14,151,5.7,3
14,157,5.3,3
14,161,5.7,4
14,162,5.2,2
15,2,7.0,2
15,8,7.3,5
15,11,6.8,5
15,28,6.9,4
15,29,6.2,1
15,32,9.0,4
15,34,6.0,1
15,38,7.5,3
15,40,5.6,2
15,49,6.4,2
15,50,6.8,5
15,55,7.6,4
15,74,8.2,3
15,80,8.4,5
15,92,6.3,1
15,95,6.5,2
15,97,7.3,3
15,110,7.4,3
15,139,6.3,5
15,142,6.3,2
15,162,6.5,3
16,1,5.9,4
16,7,6.7,3
16,8,6.9,2
16,13,5.8,3
16,15,5.7,5
16,17,6.6,4
16,18,5.8,5
16,19,5.7,4
16,23,5.5,1
16,33,5.7,2
16,37,5.6,5
16,38,5.8,5
16,39,6.6,5
16,40,5.2,2
16,41,5.3,5
16,43,5.8,4
16,44,5.7,3
16,45,5.2,3
16,50,5.8,3
16,53,7.4,4
16,55,5.7,3
16,56,6.6,2
16,57,5.3,1
16,59,6.4,1
16,61,6.4,1
16,64,5.8,3
16,66,5.9,1
16,68,6.1,2
16,70,5.3,5
16,73,5.5,5
16,74,5.5,4
16,80,6.8,1
16,83,6.4,2
16,84,6.2,3
16,85,6.5,3
16,88,7.2,4
16,92,5.3,5
16,96,5.8,5
16,97,5.6,3
16,98,6.2,5
16,99,5.6,3
16,100,5.8,4
16,101,5.6,5
16,102,6.4,2
16,103,5.9,4
16,105,7.0,3
16,106,5.1,1
16,107,5.7,1
16,110,6.1,3
16,112,5.5,2
16,114,5.4,3
16,116,6.6,2
16,118,6.1,3
16,124,5.6,3
16,125,6.0,2
16,140,5.5,5
16,150,5.2,5
17,1,6.2,1
17,4,5.8,5
17,8,6.5,2
17,27,6.4,4
17,30,6.5,5
17,31,6.0,1
17,34,5.7,2
17,37,6.3,3
17,38,6.2,4
17,39,6.5,3
17,48,5.8,4
17,51,6.1,2
17,52,5.5,5
17,59,6.4,4
17,66,5.5,5
17,71,6.2,2
17,80,5.5,5
17,81,5.6,4
17,87,5.7,5
17,88,7.5,5
17,90,5.8,5
17,91,6.0,4
17,93,6.2,5
17,98,5.9,5
17,108,7.5,1
17,109,5.4,1
17,119,6.8,5
17,124,7.0,5
17,128,5.6,5
18,1,7.8,4
18,4,6.0,1
18,8,7.7,1
18,9,7.0,4
18,26,6.6,1
18,27,8.7,5
18,30,5.7,4
18,31,5.6,4
18,32,8.0,5
18,34,5.4,3
18,35,7.9,1
18,36,6.7,2
18,37,7.3,2
18,38,7.5,4
18,39,8.5,5
18,48,5.7,1
18,52,6.4,1
18,59,6.1,3
18,66,6.1,2
18,79,5.4,5
18,80,6.4,1
18,87,6.6,4
18,88,9.2,2
18,89,7.6,4
18,91,6.4,4
18,92,6.0,5
18,93,6.9,1
18,98,8.3,5
18,108,8.9,2
18,109,5.6,1
18,119,7.1,2
18,124,8.2,3
19,1,7.3,5
19,3,6.0,4
19,7,6.0,3
19,8,5.8,1
19,11,5.5,2
19,13,6.0,4
19,14,6.7,3
19,15,5.1,5
19,16,5.7,3
19,17,6.2,5
19,18,5.7,2
19,19,5.2,2
19,21,5.5,4
19,23,5.5,2
19,28,6.3,3
19,29,5.8,5
19,32,6.6,3
19,33,6.4,5
19,37,6.4,5
19,38,5.8,4
19,39,5.7,5
19,41,7.1,3
19,43,6.1,1
19,50,6.4,2
19,51,5.4,3
19,52,5.2,5
19,53,5.8,5
19,55,5.3,4
19,56,5.8,5
19,57,5.8,4
19,59,6.8,5
19,60,6.3,1
19,61,5.8,3
19,63,6.1,3
19,64,5.2,5
19,65,6.2,4
19,67,5.9,2
19,68,6.2,4
19,70,5.8,2
19,73,6.7,2
19,75,6.0,2
19,80,6.4,3
19,81,6.4,4
19,83,5.1,5
19,84,5.4,1
19,85,6.2,5
19,87,5.6,5
19,88,8.1,1
19,96,6.6,2
19,97,6.8,4
19,98,6.7,4
19,99,6.9,3
19,100,5.5,5
19,101,7.1,1
19,107,6.4,1
19,110,5.7,1
19,112,6.7,4
19,115,5.9,5
19,116,6.7,2
19,117,5.7,4
19,118,5.4,3
19,122,5.7,5
19,124,6.7,2
19,149,6.2,5
19,150,5.4,4
19,152,6.0,2
19,153,5.5,5
19,164,5.6,2
19,166,5.9,4
20,1,6.0,4
20,3,5.8,5
20,13,5.9,1
20,14,6.2,1
20,17,6.0,1
20,18,5.4,5
20,21,5.3,1
20,23,5.6,3
20,33,5.6,4
20,37,5.9,2
20,38,6.3,4
20,39,5.1,5
20,41,5.9,3
20,42,5.2,1
20,43,5.2,4
20,45,5.4,1
20,51,5.4,5
20,53,6.2,5
20,55,5.8,4
20,57,5.8,4
20,58,6.1,5
20,59,5.6,4
20,60,6.9,5
20,61,6.0,5
20,66,5.2,1
20,69,5.4,1
20,70,5.4,3
20,71,7.7,3
20,73,5.9,1
20,75,6.4,2
20,80,6.8,4
20,81,5.9,5
20,83,5.7,5
20,85,5.3,3
20,87,5.6,4
20,88,6.7,1
20,97,5.6,4
20,98,6.3,5
20,99,6.8,4
20,100,5.7,2
20,101,6.1,2
20,106,5.0,3
20,107,5.2,2
20,110,6.4,3
20,111,5.4,1
20,112,5.9,1
20,113,5.5,2
20,114,5.5,3
20,116,6.1,5
20,118,5.4,2
20,123,6.0,4
20,124,5.1,2
20,138,6.0,5
20,140,6.2,3
20,146,6.4,2
20,147,5.7,2
20,150,5.3,5
21,1,5.9,5
21,2,5.7,4
21,5,5.5,2
21,13,5.8,2
21,14,6.1,3
21,15,5.1,3
21,17,5.9,3
21,18,5.3,2
21,21,5.3,1
21,22,5.9,4
21,23,5.4,4
21,33,6.3,3
21,37,5.7,5
21,38,5.7,3
21,39,5.5,5
21,41,5.9,3
21,43,5.0,4
21,45,5.2,2
21,53,6.2,4
21,55,5.7,4
21,57,5.8,4
21,59,5.4,1
21,60,6.0,3
21,61,6.1,1
21,62,5.0,2
21,69,5.6,4
21,71,7.1,5
21,72,6.0,3
21,73,5.9,1
21,75,5.6,2
21,80,6.7,4
21,81,5.8,5
21,83,5.0,4
21,87,5.8,3
21,88,6.7,4
21,97,5.8,3
21,98,6.1,2
21,99,6.5,2
21,100,5.7,5
21,101,5.9,1
21,107,5.3,3
21,110,6.8,3
21,111,5.3,3
21,112,5.8,1
21,113,5.7,1
21,114,5.4,1
21,116,6.4,5
21,118,5.3,2
21,123,5.9,5
21,124,5.1,2
21,138,6.2,5
21,140,6.1,5
21,147,6.1,4
21,150,5.2,3
22,1,6.7,3
22,3,6.0,1
22,7,5.8,2
22,8,5.4,2
22,10,6.1,3
22,13,5.9,1
22,14,6.6,1
22,16,5.7,2
22,17,5.8,2
22,18,5.6,1
22,19,5.5,1
22,23,5.6,3
22,29,5.4,2
22,32,6.4,3
22,33,6.6,2
22,37,5.9,2
22,38,5.8,3
22,39,5.4,2
22,41,6.8,4
22,43,5.7,3
22,44,6.1,1
22,45,5.4,5
22,50,6.3,2
22,53,5.6,2
22,55,5.8,1
22,56,6.0,1
22,57,6.0,3
22,59,6.5,4
22,61,6.5,3
22,65,6.6,1
22,67,5.5,4
22,68,6.2,5
22,70,5.6,1
22,71,6.8,1
22,73,6.2,5
22,74,5.5,3
22,75,5.5,3
22,80,7.2,3
22,85,6.1,2
22,87,5.9,5
22,88,7.7,4
22,96,6.2,3
22,97,6.7,3
22,98,6.7,4
22,99,6.9,2
22,101,7.4,3
22,107,6.0,2
22,110,5.8,5
22,112,6.4,5
22,115,5.8,1
22,116,6.6,4
22,117,5.8,4
22,118,6.0,5
22,121,6.1,4
22,123,6.0,4
22,124,6.4,4
22,125,6.2,5
22,140,5.2,5
22,142,5.9,2
22,149,6.1,3
22,150,5.1,2
22,164,6.1,2
23,1,5.3,3
23,3,5.8,4
23,14,5.8,4
23,17,6.0,1
